level_code,activity_id,module_id,day_number,activity_type,prompt_text,subtopic_id,resource_urls
EM9_INT,em9int_m1_d1_logistics_00,em9int_m1,1,logistics,Norms / Pre-assessments / Logistics,,{}
EM9_INT,em9int_m1_d2_performance_task_01,em9int_m1,2,performance_task,Modeling Expressions Task,em9int_m1_s1,"{""task_paper"": ""https://drive.google.com/file/d/1eHiwWnEOxPai9yTNQTonPVscvSv7Wb8L/view?usp=sharing"", ""full_lesson_slides"": ""https://docs.google.com/presentation/d/15ZQnnFR4_in49-gtZWhRPXmybkrw_iDKg3y27vx-QiQ/copy?usp=sharing"", ""full_lesson_pdf"": ""https://drive.google.com/file/d/11c0rrHfvrlK1Y6idWWK5yZBxb8Fif97B/view?usp=sharing"", ""student_paced_pdf"": ""https://drive.google.com/file/d/1W90Np4QEKGcSK1eKqUyTFFSynrx1SB4o/view?usp=sharing""}"
EM9_INT,em9int_m1_d2_fal_pre_assessment_02,em9int_m1,2,fal_pre_assessment,Pre-assessment for Interpreting Equations (FAL 1A),em9int_m1_s2,"{""task_paper"": ""https://drive.google.com/file/d/14HyzJ2EQ1rga6w-RoozRxAGoSSW64DAk/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1YQEB2SxVseeYo7wGjqw-MoE_3gwMkrJykmJgNJ0xGAE/copy?usp=sharing""}"
EM9_INT,em9int_m1_d3_fal_pre_assessment_03,em9int_m1,3,fal_pre_assessment,Pre-assessment for Interpreting Algebraic Expressions (FAL 1B),em9int_m1_s3,"{""task_paper"": ""https://drive.google.com/file/d/1bq0_kj2wEI1fMgpyC0pNNjxoyBdpiBCA/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1hctPpQHLfOgO1x2ofV_VXXzj8e7Wq_jjggvtwq5tFEo/copy?usp=sharing""}"
EM9_INT,em9int_m1_d3_fal_lesson_04,em9int_m1,3,fal_lesson,Launch — Interpreting Equations (1 of 3),em9int_m1_s2,"{""task_paper"": ""https://drive.google.com/file/d/1136eExpmp_p2oG7Mo0Yxmoz3vU2IhVOT/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1YQEB2SxVseeYo7wGjqw-MoE_3gwMkrJykmJgNJ0xGAE/copy?usp=sharing""}"
EM9_INT,em9int_m1_d4_fal_lesson_05,em9int_m1,4,fal_lesson,Interpreting Equations (2 of 3),em9int_m1_s2,"{""task_paper"": ""https://drive.google.com/file/d/1136eExpmp_p2oG7Mo0Yxmoz3vU2IhVOT/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1YQEB2SxVseeYo7wGjqw-MoE_3gwMkrJykmJgNJ0xGAE/copy?usp=sharing""}"
EM9_INT,em9int_m1_d5_fal_lesson_06,em9int_m1,5,fal_lesson,Interpreting Equations (3 of 3),em9int_m1_s2,"{""task_paper"": ""https://drive.google.com/file/d/1136eExpmp_p2oG7Mo0Yxmoz3vU2IhVOT/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1YQEB2SxVseeYo7wGjqw-MoE_3gwMkrJykmJgNJ0xGAE/copy?usp=sharing""}"
EM9_INT,em9int_m1_d5_fal_post_assessment_07,em9int_m1,5,fal_post_assessment,Post-assessment for Interpreting Equations,em9int_m1_s2,"{""task_paper"": ""https://drive.google.com/file/d/14HyzJ2EQ1rga6w-RoozRxAGoSSW64DAk/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1YQEB2SxVseeYo7wGjqw-MoE_3gwMkrJykmJgNJ0xGAE/copy?usp=sharing""}"
EM9_INT,em9int_m1_d6_fal_lesson_08,em9int_m1,6,fal_lesson,Interpreting Algebraic Expressions (Core FAL),em9int_m1_s3,"{""task_paper"": ""https://drive.google.com/file/d/1bq0_kj2wEI1fMgpyC0pNNjxoyBdpiBCA/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1hctPpQHLfOgO1x2ofV_VXXzj8e7Wq_jjggvtwq5tFEo/copy?usp=sharing""}"
EM9_INT,em9int_m1_d6_fal_lesson_09,em9int_m1,6,fal_lesson,Interpreting Algebraic Expressions (1 of 3),em9int_m1_s3,"{""task_paper"": ""https://drive.google.com/file/d/1bq0_kj2wEI1fMgpyC0pNNjxoyBdpiBCA/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1hctPpQHLfOgO1x2ofV_VXXzj8e7Wq_jjggvtwq5tFEo/copy?usp=sharing""}"
EM9_INT,em9int_m1_d7_fal_lesson_10,em9int_m1,7,fal_lesson,Interpreting Algebraic Expressions (2 of 3),em9int_m1_s3,"{""task_paper"": ""https://drive.google.com/file/d/1bq0_kj2wEI1fMgpyC0pNNjxoyBdpiBCA/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1hctPpQHLfOgO1x2ofV_VXXzj8e7Wq_jjggvtwq5tFEo/copy?usp=sharing""}"
EM9_INT,em9int_m1_d8_fal_lesson_11,em9int_m1,8,fal_lesson,Interpreting Algebraic Expressions (3 of 3),em9int_m1_s3,"{""task_paper"": ""https://drive.google.com/file/d/1bq0_kj2wEI1fMgpyC0pNNjxoyBdpiBCA/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1hctPpQHLfOgO1x2ofV_VXXzj8e7Wq_jjggvtwq5tFEo/copy?usp=sharing""}"
EM9_INT,em9int_m1_d8_fal_post_assessment_12,em9int_m1,8,fal_post_assessment,Post-assessment for Interpreting Algebraic Expressions,em9int_m1_s3,"{""task_paper"": ""https://drive.google.com/file/d/1bq0_kj2wEI1fMgpyC0pNNjxoyBdpiBCA/view?usp=sharing"", ""read_me"": ""https://docs.google.com/document/d/1hctPpQHLfOgO1x2ofV_VXXzj8e7Wq_jjggvtwq5tFEo/copy?usp=sharing""}"
EM9_INT,em9int_m1_d8_performance_task_13,em9int_m1,8,performance_task,Matching Cards Task,em9int_m1_s4,"{""task_paper"": ""https://docs.google.com/presentation/d/1_syV99hZnRSTvk8ADdKsPIbPd-uXWqBjgkfS-eQUb5w/copy?usp=sharing"", ""task_pdf"": ""https://drive.google.com/file/d/1RdkCBHR1JsFclKa7tvHaQqhHSnO6Yl0X/view?usp=sharing"", ""full_lesson_slides"": ""https://docs.google.com/presentation/d/1_syV99hZnRSTvk8ADdKsPIbPd-uXWqBjgkfS-eQUb5w/copy?usp=sharing"", ""full_lesson_pdf"": ""https://drive.google.com/file/d/1uOTTLhOfMlkNh2b1Gha_e5PNfayoqfYK/view?usp=sharing""}"
EM9_INT,em9int_m1_d9_performance_task_14,em9int_m1,9,performance_task,It is Just An Expression Task,em9int_m1_s4,"{""task_paper"": ""https://drive.google.com/file/d/11_L20tHVb-L4JEmuCqGzYAJFdHsKnQZ0/view?usp=sharing"", ""task_pdf"": ""https://drive.google.com/file/d/1-yWvYZ61RnEAgJ8O5tBu4RjlLtiHcmSF/view?usp=sharing"", ""full_lesson_slides"": ""https://docs.google.com/presentation/d/1eXwwcMhh6xsMZSevCY9RRXUIKmoEVCvz2XLGyJ2o_-g/copy?usp=sharing"", ""full_lesson_pdf"": ""https://drive.google.com/file/d/1A1yjq83PwSf_-HTrYbDbEzkZ4drVqwVT/view?usp=sharing""}"
